#medium-kruskal.csv
#Raphael
#Wirnsberger
#12220836
group,number,duration,relevantVertices,numberOfRelevantVertices,selectedEdges
Medium - Dense - Kruskal,66,747951,28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,35-32|39-30|42-29|49-39|34-31|34-32|38-30|40-39|46-33|33-29|38-28|40-29|42-34|45-30|49-37|39-36|41-33|47-36|48-37|49-43|50-45|44-34|0-0
Medium - Dense - Kruskal,67,819209,19|20|21|22|23|24|25|26|27,9,25-21|21-19|27-24|23-19|26-24|26-20|26-25|22-21|0-0
Medium - Dense - Kruskal,68,1218235,19|20|21|22|23|24|25|26|27|46|47|48|49|50,14,25-21|46-26|48-20|21-19|27-24|47-23|46-21|23-19|26-24|50-27|49-46|26-20|50-22|0-0
Medium - Dense - Kruskal,69,765431,19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45,18,37-22|25-21|39-21|40-39|42-22|21-19|27-24|38-22|45-23|38-25|41-23|23-19|26-24|40-27|44-23|41-20|43-22|0-0
Medium - Dense - Kruskal,70,811914,19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,37-22|49-39|25-21|39-21|40-39|42-22|46-26|48-20|21-19|27-24|38-22|45-23|47-23|49-37|41-23|46-21|48-37|23-19|26-24|44-23|50-27|43-22|0-0
Medium - Dense - Kruskal,71,1158737,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,18,35-26|35-27|35-32|25-21|29-26|31-20|31-21|34-31|34-32|21-19|27-24|33-29|33-28|34-22|23-19|36-21|30-29|0-0
Medium - Dense - Kruskal,72,767336,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,23,35-26|35-27|35-32|25-21|29-26|31-20|31-21|34-31|34-32|46-26|46-33|48-20|21-19|27-24|47-23|33-28|34-22|46-30|47-36|23-19|50-27|49-46|0-0
Medium - Dense - Kruskal,73,987860,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,27,35-26|35-27|35-32|37-22|39-30|42-29|25-21|29-26|31-20|31-21|34-31|34-32|38-30|39-21|40-39|42-22|21-19|27-24|33-29|38-28|45-23|45-30|39-36|41-23|44-23|43-22|0-0
Medium - Dense - Kruskal,74,748204,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,35-26|35-27|35-32|37-22|39-30|42-29|49-39|25-21|29-26|31-20|31-21|34-31|34-32|38-30|39-21|40-39|42-22|46-26|46-33|48-20|21-19|27-24|38-28|45-23|45-30|47-23|39-36|41-23|44-23|50-27|43-22|0-0
Medium - Dense - Kruskal,75,954358,10|11|12|13|14|15|16|17|18,9,18-10|17-11|18-13|18-11|15-12|16-12|12-11|14-13|0-0
Medium - Dense - Kruskal,76,918671,10|11|12|13|14|15|16|17|18|46|47|48|49|50,14,18-10|46-12|49-12|49-16|50-14|48-12|48-13|17-11|18-13|18-11|15-12|47-11|49-14|0-0
Medium - Dense - Kruskal,77,1130471,10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45,18,18-10|43-14|37-10|40-39|41-14|17-11|18-13|37-14|40-37|18-11|38-12|38-14|15-12|16-12|42-15|44-17|45-43|0-0
Medium - Dense - Kruskal,78,922388,10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,18-10|43-14|46-12|49-12|49-39|37-10|40-39|41-14|49-16|50-14|48-12|48-13|49-37|17-11|37-14|18-11|38-12|15-12|47-11|42-15|44-17|50-45|0-0
Medium - Dense - Kruskal,79,923605,10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36,18,18-10|30-15|33-10|35-32|31-11|33-11|34-31|34-32|30-14|31-14|33-29|34-13|17-11|33-28|15-12|16-12|36-31|0-0
Medium - Dense - Kruskal,80,972555,10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|46|47|48|49|50,23,18-10|30-15|33-10|35-32|46-12|49-12|31-11|33-11|34-31|34-32|46-33|49-16|50-14|30-14|31-14|33-29|34-13|48-12|17-11|33-28|47-36|47-29|0-0
Medium - Dense - Kruskal,81,823635,10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,27,18-10|30-15|33-10|35-32|39-30|42-29|43-14|31-11|33-11|34-31|34-32|37-10|38-30|40-39|41-14|30-14|31-14|33-29|34-13|38-28|45-30|17-11|39-36|38-12|16-12|44-17|0-0
Medium - Dense - Kruskal,82,920391,10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,18-10|30-15|33-10|35-32|39-30|42-29|43-14|46-12|49-12|49-39|31-11|33-11|34-31|34-32|37-10|38-30|40-39|41-14|46-33|49-16|50-14|30-14|33-29|34-13|38-28|45-30|48-12|17-11|39-36|47-36|44-17|0-0
Medium - Dense - Kruskal,83,754290,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27,18,18-10|21-10|25-21|21-19|27-15|27-24|17-11|18-13|20-10|22-12|18-11|20-15|23-19|26-24|15-12|16-12|19-14|0-0
