#medium-prim.csv
#Raphael
#Wirnsberger
#12220836
group,number,duration,relevantVertices,numberOfRelevantVertices,selectedEdges
Medium - Dense - Prim,69,257837,19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45,18,19-19|20-41|21-19|22-38|23-19|24-27|25-21|26-24|27-40|37-22|38-25|39-21|40-39|41-23|42-22|43-25|44-23|45-23
Medium - Dense - Prim,70,396779,19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,19-19|20-48|21-19|22-37|23-19|24-26|25-21|26-46|27-24|37-49|38-22|39-21|40-39|41-23|42-22|43-25|44-23|45-23|46-21|47-23|48-37|49-39|50-27
Medium - Dense - Prim,71,265966,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,18,19-19|20-31|21-19|22-34|23-19|24-27|25-21|26-35|27-35|28-33|29-26|30-29|31-21|32-34|33-29|34-31|35-32|36-21
Medium - Dense - Prim,72,368374,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,23,19-19|20-31|21-19|22-34|23-19|24-27|25-21|26-35|27-35|28-46|29-26|30-46|31-21|32-34|33-46|34-31|35-32|36-47|46-26|47-23|48-20|49-46|50-27
Medium - Dense - Prim,73,493363,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,27,19-19|20-31|21-19|22-42|23-45|24-27|25-21|26-35|27-35|28-38|29-26|30-39|31-21|32-34|33-29|34-31|35-32|36-39|37-22|38-30|39-21|40-39|41-33|42-29|43-25|44-23|45-30
Medium - Dense - Prim,74,580482,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,19-19|20-31|21-19|22-42|23-45|24-27|25-21|26-35|27-35|28-38|29-26|30-39|31-21|32-34|33-46|34-31|35-32|36-39|37-22|38-30|39-21|40-39|41-33|42-29|43-25|44-23|45-30|46-26|47-23|48-20|49-39|50-27
Medium - Dense - Prim,75,132712,10|11|12|13|14|15|16|17|18,9,10-10|11-18|12-11|13-18|14-13|15-12|16-12|17-11|18-10
Medium - Dense - Prim,76,202052,10|11|12|13|14|15|16|17|18|46|47|48|49|50,14,10-10|11-18|12-48|13-18|14-49|15-12|16-49|17-11|18-10|46-12|47-11|48-13|49-12|50-14
Medium - Dense - Prim,77,258856,10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45,18,10-10|11-18|12-38|13-18|14-37|15-12|16-12|17-11|18-10|37-10|38-14|39-40|40-37|41-14|42-15|43-14|44-17|45-43
Medium - Dense - Prim,78,427204,10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,10-10|11-18|12-49|13-48|14-37|15-12|16-49|17-11|18-10|37-10|38-12|39-49|40-39|41-14|42-15|43-14|44-17|45-50|46-12|47-11|48-12|49-37|50-14
